,MKT,Rf
1991-10-19,0.026394936,0.000477389
1991-10-21,-0.009460421,0.000473241
1991-10-22,0.00629675,0.000465157
1991-10-23,-0.004297553,0.000462843
1991-10-24,-0.004526986,0.000457745
1991-10-25,-0.008840934,0.000454264
1991-10-26,-0.012425015,0.000454264
1991-10-28,0.001962227,0.000453567
1991-10-29,0.008539132,0.000451243
1991-10-30,-0.006339416,0.000448917
1991-10-31,-0.009512314,0.000448917
1991-11-01,-0.006673243,0.000448917
1991-11-02,-0.021614675,0.000448917
1991-11-04,-0.004299021,0.000448917
1991-11-05,0.018229791,0.000450081
1991-11-06,0.00032391,0.000450081
1991-11-07,0.003841512,0.000450081
1991-11-08,0.003856135,0.000450081
1991-11-09,-0.007419741,0.000450081
1991-11-11,-0.003016569,0.000450546
1991-11-12,-0.002479595,0.000450546
1991-11-13,-0.003699046,0.000450546
1991-11-14,-0.008182966,0.000450546
1991-11-15,-0.003279229,0.000450546
1991-11-16,-0.002854353,0.000450546
1991-11-18,-0.011661017,0.000451243
1991-11-19,0.018475328,0.000451243
1991-11-20,-0.005163666,0.000451243
1991-11-21,-0.006078113,0.000451243
1991-11-22,-0.000105958,0.000451011
1991-11-23,-0.006343007,0.000450778
1991-11-25,-0.010755965,0.000449615
1991-11-26,-0.000446621,0.000447754
1991-11-27,0.018026902,0.000441928
1991-11-28,-0.012501324,0.000440061
1991-11-29,-0.00055175,0.000439594
1991-11-30,-0.001027434,0.000439594
1991-12-02,-0.011528307,0.000438427
1991-12-03,-0.019163574,0.00043796
1991-12-04,-0.016703874,0.00043796
1991-12-05,0.022752158,0.00043796
1991-12-06,-0.024072296,0.00043796
1991-12-07,-0.006743241,0.00043796
1991-12-09,0.032580802,0.00043796
1991-12-10,0.008478042,0.00043796
1991-12-11,0.019106293,0.000438427
1991-12-12,-0.00922865,0.000438894
1991-12-13,-0.011817044,0.000438894
1991-12-14,-0.014490715,0.000438894
1991-12-16,-0.011182489,0.000441928
1991-12-17,-0.025200513,0.00044426
1991-12-18,-0.000493673,0.00044659
1991-12-19,0.008001449,0.000447754
1991-12-20,-0.018358514,0.000448917
1991-12-21,-0.024126054,0.000448917
1991-12-23,0.041056418,0.000450081
1991-12-24,0.000540461,0.000450778
1991-12-26,0.021786813,0.000452405
1992-01-03,0.041779472,0.000453567
1992-01-04,-0.000322923,0.000453567
1992-01-06,-0.007429626,0.000450081
1992-01-07,-0.030095929,0.00044915
1992-01-08,0.017991532,0.00044659
1992-01-09,-0.027687526,0.00044659
1992-01-10,-0.002502139,0.00044659
1992-01-11,-0.012979026,0.00044659
1992-01-13,0.010198393,0.000445658
1992-01-14,-0.018648964,0.000445192
1992-01-15,0.009195706,0.000444027
1992-01-16,0.010701585,0.000442628
1992-01-17,0.007280451,0.000439594
1992-01-18,0.020379582,0.000438427
1992-01-20,-0.006105353,0.000434921
1992-01-21,0.02584127,0.00043024
1992-01-22,0.032787646,0.000423203
1992-01-23,-0.014127976,0.000411434
1992-01-24,0.009497903,0.000397245
1992-01-25,0.016288067,0.000392499
1992-01-27,-0.013553347,0.000386555
1992-01-28,-0.010030632,0.000384174
1992-01-29,0.00735651,0.000382983
1992-01-30,0.024663846,0.000384174
1992-01-31,0.015958619,0.000386555
1992-02-01,-0.000766594,0.000386555
1992-02-06,8.68508E-05,0.000385365
1992-02-07,0.000839485,0.000385365
1992-02-08,-0.006218546,0.000385365
1992-02-10,-0.018714165,0.000386555
1992-02-11,-0.014963222,0.000390123
1992-02-12,-0.01165259,0.000394873
1992-02-13,0.00325976,0.000397245
1992-02-14,-0.01657987,0.000399615
1992-02-15,-0.011687329,0.000399615
1992-02-17,-0.002999344,0.000403876
1992-02-18,0.015527561,0.000404349
1992-02-19,-0.023868668,0.000405531
1992-02-20,0.000395157,0.000406713
1992-02-21,0.012719028,0.000407894
1992-02-22,-0.005039316,0.000407894
1992-02-24,-0.008875229,0.000409075
1992-02-25,-0.0168494,0.000413792
1992-02-26,0.0047311,0.000413792
1992-02-27,-0.015007368,0.000411434
1992-02-28,-0.004048846,0.000411434
1992-02-29,0.013306122,0.000411434
1992-03-02,-0.007621042,0.000409075
1992-03-03,0.023623198,0.000406713
1992-03-04,-0.01782797,0.000406713
1992-03-05,0.011078275,0.000406713
1992-03-06,-0.002555543,0.000409075
1992-03-07,0.005652613,0.000409075
1992-03-09,-0.014282985,0.000416148
1992-03-11,9.69227E-05,0.000417325
1992-03-12,-0.007316955,0.000417325
1992-03-13,-0.008347164,0.000417325
1992-03-14,-0.001788498,0.000417325
1992-03-16,0.011226905,0.000418501
1992-03-17,-0.001349177,0.000418501
1992-03-18,-0.00275083,0.000419678
1992-03-19,0.004439584,0.000419678
1992-03-20,0.003103723,0.000419678
1992-03-21,0.011064312,0.000419678
1992-03-23,-0.026116354,0.000419678
1992-03-25,0.006366912,0.000419678
1992-03-26,0.009285598,0.000419207
1992-03-27,-0.02384269,0.000419678
1992-03-28,-0.008246773,0.000419207
1992-03-30,0.014438923,0.000419207
1992-03-31,-0.012072833,0.000419678
1992-04-01,-0.022253756,0.000419678
1992-04-02,0.018303823,0.000419678
1992-04-03,-0.010999514,0.000419678
1992-04-04,0.000322127,0.000419678
1992-04-06,-0.018524796,0.000419442
1992-04-07,-0.010568305,0.000417325
1992-04-08,0.005253329,0.000416383
1992-04-09,-0.010989965,0.00041756
1992-04-10,0.011340297,0.000418501
1992-04-11,0.003610422,0.000418501
1992-04-13,-0.004548678,0.000418266
1992-04-14,0.004430468,0.000418266
1992-04-15,0.015948522,0.000418266
1992-04-16,0.000664022,0.000420853
1992-04-17,0.000119104,0.000422028
1992-04-18,3.40258E-05,0.000422263
1992-04-20,0.001190861,0.000422968
1992-04-21,-0.007289596,0.000422733
1992-04-22,-0.002310773,0.000421558
1992-04-23,0.022320586,0.000421558
1992-04-24,-0.00167819,0.000420618
1992-04-25,0.022155729,0.000420618
1992-04-27,-0.017794297,0.000419913
1992-04-28,0.025919228,0.000418737
1992-04-29,0.005304217,0.000418737
1992-04-30,0.007143205,0.000417325
1992-05-01,-0.008736722,0.000416383
1992-05-02,0.008748679,0.000416148
1992-05-04,-0.013670143,0.00041497
1992-05-06,-0.013908638,0.000414499
1992-05-07,-0.006778931,0.000414028
1992-05-08,-0.007726325,0.000414028
1992-05-09,-0.011940399,0.000414028
1992-05-11,-0.001906318,0.000414028
1992-05-12,0.010044338,0.000413792
1992-05-13,-0.007985953,0.000413792
1992-05-14,0.0029614,0.000415677
1992-05-15,-0.005871373,0.000415912
1992-05-16,0.003772361,0.000416148
1992-05-18,-0.000136043,0.000416854
1992-05-19,-0.013708182,0.000418737
1992-05-20,-0.010484386,0.000418266
1992-05-21,0.015771221,0.00041756
1992-05-22,-0.012026489,0.000417325
1992-05-23,-0.007779534,0.000417325
1992-05-25,-0.003290222,0.000418266
1992-05-26,0.027602676,0.000418031
1992-05-27,-0.011277617,0.000418737
1992-05-28,-0.013307295,0.000418972
1992-05-29,0.005727497,0.000419913
1992-05-30,-0.008725183,0.000419913
1992-06-01,-0.003250233,0.000420618
1992-06-02,0.002890683,0.000420383
1992-06-03,-0.00029878,0.000420383
1992-06-04,0.000685642,0.000420383
1992-06-05,-0.009750527,0.000419678
1992-06-08,-0.003353145,0.000419678
1992-06-09,0.001975933,0.000419207
