Code,,1989-12,1990-12,1991-12,1992-12,1993-12,1994-12,1995-12,1996-12,1997-12,1998-12,1999-12,2000-12,2001-12,2002-12,2003-12,2004-12,2005-12,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,2016-12,2017-12,2018-12,2019-12,2020-07
A036190,자산총계,,,,,,,,,18560702.000000 ,20446266.000000 ,30349106.000000 ,27572848.000000 ,30134697.000000 ,30891167.000000 ,30062447.000000 ,35581858.000000 ,40430678.000000 ,43100638.000000 ,47806053.000000 ,58139679.000000 ,65924960.000000 ,79752652.000000 ,94174014.350000 ,102986356.910000 ,142932108.090000 ,158057524.430000 ,189001800.090000 ,215036136.710000 ,230420605.370000 ,262516457.230000 ,281692946.000000 ,
A004770,자본총계,7629801.000000 ,10598289.000000 ,9880206.000000 ,8027100.000000 ,8835649.000000 ,10012559.000000 ,10749662.000000 ,10002081.000000 ,10174317.000000 ,10819686.000000 ,11456605.000000 ,30607484.000000 ,29917266.000000 ,25358176.000000 ,33730622.000000 ,30018213.000000 ,30058547.000000 ,28757229.000000 ,29751433.000000 ,31082695.000000 ,30458591.000000 ,26253513.000000 ,19627404.050000 ,18514039.520000 ,14694998.160000 ,25877209.050000 ,28123395.480000 ,35475643.470000 ,38294393.120000 ,42118496.370000 ,53879293.970000 ,
A004770,우선주자본금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A004770,이연법인세자산,,,,,,,,,,,563033.000000 ,357805.000000 ,694712.000000 ,532523.000000 ,,,,,142895.000000 ,,,,,,,,1102692.310000 ,911469.400000 ,2010558.900000 ,2350317.810000 ,1605569.880000 ,
A004770,영업이익,1494055.000000 ,1567914.000000 ,251445.000000 ,-802782.000000 ,2057691.000000 ,2761517.000000 ,1650710.000000 ,2066928.000000 ,798957.000000 ,2276263.000000 ,2133190.000000 ,6101224.000000 ,-20323.000000 ,-1466969.000000 ,-950253.000000 ,-1157663.000000 ,497270.000000 ,1316131.000000 ,21461.000000 ,51540.000000 ,24872.000000 ,-1061451.000000 ,-4523237.030000 ,-5609805.870000 ,-3170866.160000 ,-138949.970000 ,419594.510000 ,2116859.290000 ,1329514.280000 ,646410.960000 ,4223141.960000 ,
A004770,자산총계,21508232.000000 ,27554040.000000 ,27465930.000000 ,27062410.000000 ,27039063.000000 ,29147803.000000 ,30961038.000000 ,30776842.000000 ,33028668.000000 ,28032294.000000 ,27904071.000000 ,54250130.000000 ,46486132.000000 ,50063536.000000 ,56705449.000000 ,33984762.000000 ,33613594.000000 ,33398497.000000 ,36161330.000000 ,49333390.000000 ,49266110.000000 ,44314781.000000 ,39869427.290000 ,33690475.150000 ,28523761.430000 ,30412762.040000 ,41052606.640000 ,41114892.800000 ,40388928.600000 ,54612565.240000 ,61496542.790000 ,
A049960,자본총계,,,,,,,,,,,3382636.000000 ,7751453.000000 ,8263254.000000 ,11259778.000000 ,12364238.000000 ,14042876.000000 ,22246878.000000 ,22019484.000000 ,21082847.000000 ,20651434.000000 ,24606826.000000 ,28961400.000000 ,31765052.950000 ,36421286.170000 ,43050537.950000 ,52360554.270000 ,68757251.950000 ,84152853.840000 ,90196393.670000 ,105624887.360000 ,103602393.340000 ,
A049960,우선주자본금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A049960,이연법인세자산,,,,,,,,,,,38907.000000 ,,3479.000000 ,33995.000000 ,238511.000000 ,160971.000000 ,115697.000000 ,174751.000000 ,96273.000000 ,18824.000000 ,242157.000000 ,273656.000000 ,676750.320000 ,248951.410000 ,146643.160000 ,133173.090000 ,136782.580000 ,184102.010000 ,355988.170000 ,505416.660000 ,579453.330000 ,
A049960,영업이익,,,,,,,,,,,516361.000000 ,237769.000000 ,684303.000000 ,1585832.000000 ,1675131.000000 ,1929774.000000 ,283499.000000 ,45469.000000 ,1438726.000000 ,1695081.000000 ,4655773.000000 ,5280993.000000 ,5740373.290000 ,6534905.610000 ,9391588.350000 ,12905528.180000 ,18758807.950000 ,21561007.530000 ,22632702.570000 ,21674843.700000 ,5794686.590000 ,
A049960,자산총계,,,,,,,,,,,7677256.000000 ,11184058.000000 ,11322803.000000 ,13232134.000000 ,14155550.000000 ,15358564.000000 ,23482698.000000 ,23603497.000000 ,23152417.000000 ,22852768.000000 ,27281411.000000 ,32515445.000000 ,36745117.320000 ,40304144.560000 ,46698152.380000 ,57604132.530000 ,74967849.040000 ,90529232.120000 ,96476718.670000 ,112047408.050000 ,108303434.790000 ,
A041910,자본총계,,,,,,,,,,,,,3895320.000000 ,5354957.000000 ,6873162.000000 ,11125735.000000 ,17279457.000000 ,21939563.000000 ,25066113.000000 ,29025681.000000 ,34095573.000000 ,38002638.000000 ,49670070.040000 ,60694861.830000 ,67958525.580000 ,70478353.870000 ,72126630.080000 ,77423614.170000 ,82383566.370000 ,89250951.100000 ,102720349.270000 ,
A041910,우선주자본금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A041910,이연법인세자산,,,,,,,,,,,,,273289.000000 ,294579.000000 ,276586.000000 ,112094.000000 ,,,260285.000000 ,,,,,,,,,,,,,
A041910,영업이익,,,,,,,,,,,,,191459.000000 ,1588987.000000 ,1771725.000000 ,1529812.000000 ,1299888.000000 ,1440737.000000 ,2322105.000000 ,4669973.000000 ,4125818.000000 ,6930613.000000 ,11304682.810000 ,13358608.700000 ,6635448.140000 ,-44426.480000 ,613022.040000 ,2775123.330000 ,2867071.760000 ,1524748.540000 ,3794649.410000 ,
A041910,자산총계,,,,,,,,,,,,,5152097.000000 ,6771382.000000 ,8642483.000000 ,15347249.000000 ,21507469.000000 ,31637645.000000 ,48539292.000000 ,54572384.000000 ,57231020.000000 ,60672609.000000 ,77683161.130000 ,103882942.760000 ,104369537.930000 ,109045599.960000 ,91363579.020000 ,97473231.010000 ,94954729.870000 ,98344935.760000 ,116425610.940000 ,
A256840,자본총계,,,,,,,,,,,,,,,,,,,,,,,,,2551996.000000 ,4688595.000000 ,12764039.000000 ,7915568.570000 ,9393052.790000 ,11901553.430000 ,27577243.640000 ,
A256840,우선주자본금,,,,,,,,,,,,,,,,,,,,,,,,,133334.000000 ,192155.000000 ,514308.000000 ,,,,,
